as_rank,asn,as_name,is_cloud,instance_count
2706,32613,IWEB-AS,0,4
2714,19318,IS-AS-1,0,2
2716,29124,ISKRATELECOM-AS,0,1
2765,19969,JOESDATACENTER,0,3
2783,30962,COMTRANCE-AS,0,1
2892,8075,MICROSOFT-CORP-MSN-AS-BLOCK,1,36
2896,2514,InfoSphere,0,14
2916,5645,TEKSAVVY,0,5
2919,11290,CC-3272,0,1
2925,8111,DALUNIV,0,1
2932,13045,HTP-AS,0,1
2934,12350,VTX-NETWORK,0,1
2935,20773,GODADDY,0,1
2938,14361,HOPONE-GLOBAL,0,2
2945,9123,TimeWeb-AS,0,2
2952,19331,TWIN-LAKES,0,1
2955,395662,OZARKSGO,0,2
2958,20712,AS20712,0,7
2985,12732,GUTCON-NET,0,1
2988,393398,ASN-DIS,0,1
3004,400511,CWAVEFIBER,0,1
3037,47264,LDEX,0,1
3078,29608,WAN2MANY-AS,0,2
3096,58010,UVENSYS,0,5
3129,132040,VITAL-CT-AP,0,1
3194,9158,TELENOR_DANMARK_AS,0,2
3197,18209,CABLELITE-AS-AP,0,1
3200,4739,INTERNODE-AS,0,1
3216,22884,,0,1
3223,12334,,0,1
3225,44869,FIBIA-P-S,0,3
3228,8342,RTCOMM-AS,0,1
3232,35807,AS-SKYNET-SPB,0,3
3233,22653,GLOBALCOMPASS,0,1
3263,48635,CLDIN-NL,0,1
3268,11878,TZULO,0,3
3274,393552,COL-LPC,0,2
3323,11996,LOBOIS,0,1
3329,6597,COLOBLOX,0,2
3372,48943,KAPPERNET,0,1
3375,30176,AS-PRIORITYCOLO,0,3
3417,12480,ASILK,0,1
3426,40994,Alwyzon,0,4
3485,47526,NORIS-ITK,0,1
3505,204092,GRIFON,0,2
3558,559,SWITCH,0,1
3571,224,UNINETT,0,3
3572,54600,PEG-SV,0,1
3577,4771,SPARKNZ,0,3
3585,2107,ARNES-NET,0,2
3587,1742,HARVARD-UNIV,0,1
3591,44477,STARK-INDUSTRIES,0,1
3593,9351,ZLAN,0,1
3597,7506,INTERQ,0,38
3604,46261,QUICKPACKET,0,1
3624,8648,ONE-NETWORK,0,1
3643,6315,XMISSION,0,2
3673,35539,INFOLINK-T-AS,0,1
3693,56300,MYREPUBLIC-SG,0,1
3702,203172,QUPRA-AS,0,1
3722,206260,SVORKA,0,1
3731,14380,OPUS-INTERACTIVE-HIO1,0,1
3738,21527,DAYSTARR-NET,0,1
3745,42303,FiberDirekt,0,1
3747,23175,POGOZONE,0,1
3752,56694,SmartApe,0,1
3780,35592,COOLHOUSING-AS,0,2
3802,60404,Liteserver,0,1
3938,397270,NETINF-TRANSIT-AS,0,1
4027,2527,So-net,0,9
4031,1213,HEANET,0,1
